,total_weight
Planetary Boundaries,14.0
Transformation,13.0
Climate Change,8.0
Justice and Inequality,7.0
Cascading Risk,5.0
Crisis Entanglement,5.0
Planetary Limits,5.0
Resilience,5.0
Social-Ecological Systems,5.0
Resource Depletion,5.0
Polycrisis,5.0
Tipping Points,5.0
Systemic Risk,5.0
Safe and Just Earth System Boundaries,5.0
Long-Term Futures,4.0
Energy Transition,4.0
Ecological Ceilings,4.0
Social Foundations,4.0
Systemic Interdependence,4.0
