,total_weight
Systemic Risk Analysis,20.0
Governance Research,16.0
Sustainability Science,16.0
Earth System Science,15.0
Integrated Assessment Research,15.0
Scenario Analysis and Foresight Research,15.0
Network Science,15.0
Complexity Theory,12.0
Sustainability Transitions Research,12.0
Social-Ecological Systems Research,12.0
Systems Thinking,12.0
Resilience Research,12.0
Metacrisis Perspectives,9.0
Existential Risk Studies,9.0
Degrowth / Post-Growth Research,9.0
Political Ecology,9.0
