,total_weight
Cascade Institute,20.0
Stockholm Resilience Centre,20.0
Potsdam Institute for Climate Impact Research (PIK),20.0
Doughnut Economics Action Lab,16.0
Club of Rome,15.0
International Institute for Applied Systems Analysis (IIASA),12.0
UN / SDG-related Governance Institutions,9.0
