,Dim1,Dim2
Cascade Institute,-2.1447610589527213,-2.191188258986729e-16
Club of Rome,0.466252404120157,-0.4273273869671521
Doughnut Economics Action Lab,0.466252404120157,-0.4273273869671508
International Institute for Applied Systems Analysis (IIASA),0.46625240412015695,2.8488492464476773
Potsdam Institute for Climate Impact Research (PIK),0.4662524041201569,-0.4273273869671526
Stockholm Resilience Centre,0.4662524041201569,-0.42732738696715183
UN / SDG-related Governance Institutions,0.46625240412015717,-0.4273273869671517
