dimension,eigenvalue,explained_inertia,explained_inertia_percent
Dim1,0.9626620591478238,0.14497922577527453,14.497922577527453
Dim2,0.8818680749426647,0.1328114570696783,13.28114570696783
Dim3,0.8040261999509944,0.12108828312514966,12.108828312514966
Dim4,0.7435928352513779,0.11198687277882187,11.198687277882186
Dim5,0.5922162409035542,0.0891891929071617,8.91891929071617
Dim6,0.5532279045426757,0.08331745550341493,8.331745550341493
Dim7,0.5273894437247311,0.07942612104288112,7.942612104288112
Dim8,0.43111464684175416,0.06492690464484244,6.492690464484244
Dim9,0.40144574325174515,0.06045869627285313,6.045869627285313
Dim10,0.3816425977181125,0.05747629483706508,5.7476294837065085
Dim11,0.1771149808217367,0.026673942894839844,2.667394289483984
Dim12,0.12499999999999997,0.018825301204819258,1.8825301204819258
Dim13,0.03941011395507182,0.005935258125763823,0.5935258125763823
Dim14,0.01928915894776326,0.0029049938174342234,0.2904993817434223
Dim15,3.2044196045164193e-32,4.8259331393319525e-33,4.8259331393319525e-31
