dimension,eigenvalue,explained_inertia,explained_inertia_percent
Dim1,0.8943831223647334,0.13060668776065407,13.060668776065407
Dim2,0.8620225806156503,0.12588108072905746,12.588108072905746
Dim3,0.7852258138756325,0.11466645571676777,11.466645571676777
Dim4,0.6555816432489879,0.0957345290182248,9.57345290182248
Dim5,0.6384233088742848,0.09322889897654354,9.322889897654354
Dim6,0.602211068580527,0.08794082874926139,8.794082874926138
Dim7,0.5595319668462991,0.08170840332136482,8.170840332136482
Dim8,0.4958371272838892,0.0724070515687765,7.24070515687765
Dim9,0.3120499259243765,0.04556862291093176,4.556862291093176
Dim10,0.28199041960641386,0.04117903587855423,4.117903587855423
Dim11,0.23039093497714888,0.033643967730391224,3.364396773039122
Dim12,0.17489063841293742,0.025539264362532264,2.5539264362532266
Dim13,0.14166824167303366,0.02068780072332945,2.0687800723329453
Dim14,0.12483926828380539,0.018230267237044646,1.8230267237044646
Dim15,0.08886607700791002,0.01297710531656607,1.2977105316566069
Dim16,2.1641542299980106e-32,3.1603124960131094e-33,3.1603124960131096e-31
