,total_weight
Earth System Science,50.0
Systemic Risk Analysis,45.0
Resilience Research,40.0
Sustainability Transitions Research,35.0
Social-Ecological Systems Research,35.0
Complexity Theory,33.0
Degrowth / Post-Growth Research,29.0
Governance Research,29.0
Sustainability Science,28.0
Political Ecology,24.0
Systems Thinking,24.0
Metacrisis Perspectives,20.0
Integrated Assessment Research,20.0
Network Science,20.0
Scenario Analysis and Foresight Research,20.0
Existential Risk Studies,15.0
