dimension,eigenvalue,explained_inertia,explained_inertia_percent
Dim1,1.0000000000000004,0.2386980108499097,23.869801084990968
Dim2,0.7679957865463904,0.18331906658973515,18.331906658973516
Dim3,0.6666666666666663,0.15913200723327298,15.913200723327298
Dim4,0.566055964324818,0.13511643271406143,13.511643271406143
Dim5,0.5000000000000006,0.11934900542495493,11.934900542495493
Dim6,0.3056362911020718,0.07295477472960846,7.295477472960846
Dim7,0.2500000000000001,0.05967450271247742,5.967450271247742
Dim8,0.13303923075399185,0.03175619974597997,3.175619974597997
Dim9,4.5390655277626117e-32,1.0834659125943305e-32,1.0834659125943306e-30
Dim10,2.2012350474525954e-33,5.254304272400409e-34,5.254304272400409e-32
Dim11,3.636926319971706e-66,8.68127078184928e-67,8.68127078184928e-65
